,values
183,5444.335938
184,5449.21875
185,5458.984375
186,5463.867188
187,5458.984375
188,5478.515625
189,5478.515625
190,5483.398438
191,5502.929688
192,5512.695312
193,5522.460938
194,5551.757812
195,5556.640625
196,5571.289062
197,5585.9375
198,5595.703125
199,5585.9375
200,5600.585938
201,5605.46875
202,5620.117188
203,5625.0
204,5649.414062
205,5659.179688
206,5668.945312
207,5678.710938
208,5693.359375
209,5708.007812
210,5732.421875
211,5742.1875
212,5742.1875
213,5751.953125
214,5751.953125
215,5761.71875
216,5781.25
217,5786.132812
218,5815.429688
219,5834.960938
220,5839.84375
221,5859.375
222,5874.023438
223,5878.90625
224,5883.789062
225,5898.4375
226,5913.085938
227,5903.320312
228,5917.96875
229,5932.617188
230,5932.617188
231,5966.796875
232,5971.679688
233,5996.09375
234,6010.742188
235,6025.390625
236,6035.15625
237,6044.921875
238,6054.6875
239,6059.570312
240,6083.984375
241,6083.984375
242,6103.515625
243,6108.398438
244,6123.046875
245,6142.578125
246,6162.109375
247,6171.875
248,6181.640625
249,6186.523438
250,6186.523438
251,6210.9375
252,6235.351562
253,6225.585938
254,6240.234375
255,6254.882812
256,6264.648438
257,6289.0625
258,6289.0625
259,6313.476562
260,6328.125
261,6337.890625
262,6333.007812
263,6347.65625
264,6362.304688
265,6372.070312
266,6386.71875
267,6391.601562
268,6411.132812
269,6425.78125
270,6430.664062
271,6450.195312
272,6464.84375
273,6459.960938
274,6474.609375
275,6489.257812
276,6494.140625
277,6494.140625
278,6523.4375
279,6528.320312
280,6542.96875
281,6552.734375
282,6557.617188
283,6562.5
284,6577.148438
285,6596.679688
286,6596.679688
287,6611.328125
288,6611.328125
289,6621.09375
290,6630.859375
291,6640.625
292,6660.15625
293,6660.15625
294,6679.6875
295,6694.335938
296,6699.21875
297,6704.101562
298,6718.75
299,6743.164062
300,6733.398438
301,6738.28125
302,6752.929688
303,6762.695312
304,6772.460938
305,6777.34375
306,6796.875
307,6787.109375
308,6816.40625
309,6821.289062
310,6826.171875
311,6845.703125
312,6855.46875
313,6860.351562
314,6855.46875
315,6865.234375
316,6899.414062
317,6899.414062
318,6909.179688
319,6918.945312
320,6928.710938
321,6933.59375
322,6943.359375
323,6943.359375
324,6958.007812
325,6967.773438
326,6977.539062
327,6977.539062
328,6977.539062
329,7006.835938
330,7001.953125
331,7006.835938
332,7021.484375
333,7026.367188
334,7041.015625
335,7055.664062
336,7045.898438
337,7065.429688
338,7070.3125
339,7070.3125
340,7080.078125
341,7089.84375
342,7104.492188
343,7109.375
344,7109.375
345,7133.789062
346,7138.671875
347,7153.320312
348,7153.320312
349,7167.96875
350,7167.96875
351,7182.617188
352,7182.617188
353,7192.382812
354,7202.148438
355,7207.03125
356,7207.03125
357,7211.914062
358,7216.796875
359,7216.796875
360,7241.210938
361,7246.09375
362,7236.328125
363,7255.859375
364,7265.625
365,7280.273438
366,7270.507812
367,7285.15625
368,7285.15625
369,7285.15625
370,7285.15625
371,7309.570312
372,7314.453125
373,7319.335938
374,7319.335938
375,7319.335938
376,7324.21875
377,7329.101562
378,7329.101562
379,7338.867188
380,7353.515625
381,7348.632812
382,7353.515625
383,7358.398438
384,7358.398438
385,7368.164062
386,7377.929688
387,7382.8125
388,7392.578125
389,7402.34375
390,7397.460938
391,7397.460938
392,7402.34375
393,7402.34375
394,7402.34375
395,7412.109375
396,7416.992188
397,7412.109375
398,7436.523438
399,7426.757812
400,7421.875
401,7431.640625
402,7421.875
403,7431.640625
404,7426.757812
405,7431.640625
406,7441.40625
407,7446.289062
408,7451.171875
409,7456.054688
410,7456.054688
