,values
535,-1098.632812
536,-1079.101562
537,-1035.15625
538,-1118.164062
539,-1079.101562
540,-1113.28125
541,-1074.21875
542,-1074.21875
543,-1069.335938
544,-1074.21875
545,-1059.570312
546,-1079.101562
547,-1079.101562
548,-1035.15625
549,-1083.984375
550,-1049.804688
551,-1079.101562
552,-1054.6875
553,-1059.570312
554,-1137.695312
555,-1069.335938
556,-1035.15625
557,-1079.101562
558,-1079.101562
559,-1093.75
560,-1127.929688
561,-1074.21875
562,-1127.929688
563,-1113.28125
564,-1127.929688
565,-1098.632812
566,-1064.453125
567,-1132.8125
568,-1108.398438
569,-1064.453125
570,-1098.632812
571,-1020.507812
572,-1210.9375
573,-1103.515625
574,-996.09375
575,-1196.289062
576,-1054.6875
577,-1083.984375
578,-1083.984375
579,-1093.75
580,-1157.226562
581,-1098.632812
582,-1113.28125
583,-1113.28125
584,-1030.273438
585,-1113.28125
586,-1152.34375
587,-1035.15625
588,-1079.101562
589,-1059.570312
590,-1059.570312
591,-1093.75
592,-1074.21875
593,-1069.335938
594,-1098.632812
595,-1044.921875
596,-1127.929688
597,-1069.335938
598,-1108.398438
599,-1064.453125
600,-1040.039062
601,-1157.226562
602,-1093.75
603,-1074.21875
604,-1127.929688
605,-1030.273438
606,-1108.398438
607,-1103.515625
608,-1098.632812
609,-1152.34375
610,-1054.6875
611,-1093.75
612,-1074.21875
613,-1030.273438
614,-1044.921875
615,-1064.453125
616,-1074.21875
617,-1132.8125
618,-1059.570312
619,-1059.570312
620,-1098.632812
621,-1079.101562
622,-1083.984375
623,-1079.101562
624,-1108.398438
625,-1079.101562
626,-1108.398438
627,-1093.75
628,-1108.398438
629,-1123.046875
630,-1113.28125
631,-1049.804688
632,-1103.515625
633,-1108.398438
634,-1069.335938
635,-1098.632812
636,-1049.804688
637,-1069.335938
638,-1093.75
639,-1059.570312
640,-1044.921875
641,-1040.039062
642,-1079.101562
643,-1054.6875
644,-1069.335938
645,-1035.15625
646,-1103.515625
647,-1054.6875
648,-1049.804688
649,-1074.21875
650,-1025.390625
651,-1035.15625
652,-1079.101562
653,-1049.804688
654,-1059.570312
655,-1079.101562
